year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate
2022,Thiruvannamalai,district,42,49,1.6,2,3,0.1,535,611,20.4
2022,Thiruvarur,district,21,23,1.6,1,1,0.1,205,265,15.3
2022,Thoothukudi,district,84,86,4.5,8,8,0.4,432,719,23.2
2022,Tiruppattur,district,22,22,1.8,1,1,0.1,198,415,15.8
2022,Tiruppur,district,36,36,1.7,2,2,0.1,704,706,32.5
2022,Trichy,district,37,37,1.9,0,0,0.0,540,562,27.1
2022,Vellore,district,24,24,1.5,0,0,0.0,307,321,18.5
2022,Villupuram,district,23,23,1.0,6,6,0.3,548,572,25.0
2022,Virudhunagar,district,58,61,2.8,2,2,0.1,485,485,23.5
2022,Cyber Cell,special_unit,0,0,,0,0,,0,0,
2022,Other Units,special_unit,0,0,,0,0,,0,0,
2022,Railway Chennai,special_unit,6,6,,0,0,,0,0,
2022,Railway Trichy,special_unit,1,1,,0,0,,0,0,
2023,Avadi,city,57,65,13.6,1,1,0.2,461,474,109.8
2023,Chennai,city,105,106,1.7,11,11,0.2,599,606,9.9
2023,Coimbatore City,city,22,23,2.0,1,1,0.1,316,323,28.2
2023,Madurai City,city,37,38,3.4,0,0,0.0,265,281,24.4
2023,Salem City,city,26,26,2.9,0,0,0.0,217,218,24.5
2023,Tambaram,city,50,51,6.3,3,4,0.4,513,513,64.2
2023,Thirunelveli City,city,17,17,3.4,0,0,0.0,97,97,19.2
2023,Tiruppur City,city,24,24,5.1,0,0,0.0,155,158,32.7
2023,Trichy City,city,19,19,2.1,0,0,0.0,160,169,17.7
2023,Ariyalur,district,16,16,2.0,1,1,0.1,184,191,22.9
2023,Chengalpattu,district,31,33,1.3,8,9,0.3,392,423,16.1
2023,Coimbatore,district,52,52,2.0,7,7,0.3,783,811,30.5
2023,Cuddalore,district,52,53,1.9,2,2,0.1,541,580,19.5
2023,Dharmapuri,district,23,24,1.4,3,3,0.2,352,352,21.9
2023,Dindigul,district,62,64,2.7,9,9,0.4,731,731,31.7
2023,Erode,district,37,39,1.5,3,3,0.1,659,688,27.4
2023,Kallakurichi,district,23,27,1.5,3,3,0.2,286,311,19.2
2023,Kanchipuram,district,36,36,3.7,0,0,0.0,295,303,30.4
2023,Kanyakumari,district,31,32,1.6,10,12,0.5,328,354,16.4
2023,Karur,district,18,19,1.6,1,1,0.1,350,360,30.8
2023,Krishnagiri,district,59,63,2.9,1,1,0.0,724,817,36.1
2023,Madurai,district,63,64,2.9,3,3,0.1,575,575,26.7
2023,Mayiladuthurai,district,10,11,1.0,5,5,0.5,150,154,15.4
2023,Nagapattinam,district,15,15,2.0,3,3,0.4,128,187,17.1
2023,Namakkal,district,35,36,1.9,0,0,0.0,556,641,30.2
2023,Nilgiris,district,10,11,1.3,1,1,0.1,61,61,7.8
2023,Perambalur,district,12,13,2.0,0,0,0.0,171,207,28.4
2023,Pudukottai,district,29,29,1.7,3,3,0.2,423,423,24.5
2023,Ramnathapuram,district,36,36,2.5,4,4,0.3,402,423,27.9
2023,Ranipet,district,22,26,1.7,1,1,0.1,263,281,20.6
2023,Salem,district,46,46,1.6,5,5,0.2,538,573,19.0
2023,Sivagangai,district,42,46,2.9,1,1,0.1,381,440,26.7
2023,Tenkasi,district,39,43,2.6,3,3,0.2,238,258,15.6
2023,Thanjavur,district,51,51,2.0,4,4,0.2,587,607,22.9
2023,Theni,district,46,46,3.5,6,6,0.5,322,335,24.2
2023,Thirunelveli,district,47,47,3.7,2,2,0.2,302,318,24.0
2023,Thiruvallur,district,30,30,1.2,7,7,0.3,297,312,11.8
2023,Thiruvannamalai,district,35,35,1.3,7,7,0.3,648,742,24.7
2023,Thiruvarur,district,18,18,1.3,4,4,0.3,220,226,16.3
2023,Thoothukudi,district,74,75,4.0,7,10,0.4,469,496,25.1
2023,Tiruppattur,district,19,19,1.5,4,21,0.3,200,239,15.9
2023,Tiruppur,district,31,31,1.4,1,1,0.0,716,719,33.0
2023,Trichy,district,45,46,2.3,1,1,0.1,528,555,26.4
2023,Vellore,district,24,24,1.4,13,13,0.8,312,313,18.8
2023,Villupuram,district,35,38,1.6,7,7,0.3,519,548,23.6
2023,Virudhunagar,district,61,70,2.9,0,0,0.0,467,543,22.5
2023,Cyber Cell,special_unit,0,0,,0,0,,0,0,
2023,Other Units,special_unit,0,0,,0,0,,0,0,
2023,Railway Chennai,special_unit,8,8,,0,0,,1,1,
2023,Railway Trichy,special_unit,1,1,,1,1,,0,0,
