date,district_city,headline,source,url,polarity,sentiment_label,confidence,crime_intensity,crime_types,crime_type,trend_label,trend_score,method,source_class,year
2024-12-09,Operation,Operation Thiraineeku: 70 cyber criminals held across Tamil Nadu - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOS29wXzFxYmFfd200b2FFMmpSTUZubDJDdU5DYVB2d21LbUloVWdJdlgtSlRZMVhuWjNmYTdFTTJhb2tmQktBcEtCZTIyNWZGMHhXWk5kSllYT1FJbEZ4MmlpLUZ3U2RpcU1vM0dVcV94Y0Vjem4yd0tBRlQ1cTRyNlgyemNGTTRrT1Y4ajI1WXI1aXA4VWNNUm95V1VzUDloNktha2V5QXZrMjhwZzJXOWZMWEhtNWRXaGlYOEg0ejbSAc4BQVVfeXFMTnlVN2xPMFI5cS1KVGtKWS15TUIzVnBfSExrUmV3azRDb0lGdkd6RjI3MEZMemk5NkhlVmdNY0hzZmEtOEhzaUpuMGdUOENXNExZcmZXVHptNDlDM2VEMGNQYjdoMjlhX3ptcjBaNVlyc3J2Y0kxa19Pd2xsUHNYdVdNdTdZTzIxVEJZMmdKWjFQbF9LaUYwQ3FsaE9YTy1iR1R4cHF4QV9NLWxtbElLZlRxMzI3S1dTZXNxNkxFYWRwLXVmVnI0ejFEWWdJSWc?oc=5,-0.9674,negative,0.967,8,assault or violence,assault or violence,rising crime trend,0.3857,sentiment + crime_type + trend,news_media,2024
2024-10-11,Tamil,Tamil Nadu cyber scam victims lose over Rs 1000 crore from January to September - India Today,India Today,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOMUt1RTRMLXE0dEZkTVl1SF82OHJjM25ocFh6aGczOUFkTDZFQUIwWmZWenF3cUlFTG14V1ZKQ3g0Y0g5bFdIdGxlMUV5QXFjQjczVEhYM1ZLNjNJSFBhakRIWTZYbHNTUHZLbWFITkdYZnRHT1N2M05NY2FtVmhIYzIyUmxlQXo2R3ZjS1NvR1hsZ0MtcU84VWhObDBIaW9RVWxWd0tZaGJ0MXprSTBOMmRWRXdDZU91bnF2Y21OTXc0azdNSjZJZDlDQjlHaEhqV3hWUk54d3N4enFSZjRR0gHkAUFVX3lxTE1zU3NZRHladk5SQnEzd2hCSC16ZUF4T1I3ZWJXdjM5ODltZDk0d1Y0WXAwQjl3TzJvX0xWcGhRUWwyZEN6ZDNfVjJjRGs4Q09nNzFybEhBNF9QWGNnWGxZcExtc3NDSDBEa2tSWWE0Z1JfMERJUFFWRHFXLXdJcjN1RTVvY1F0aUFjaUY0NFRON1ZCaEZKNGxpYVlJTTBMWEdWNVUzdjltM2MzX3FvNlZ4SHZrUGpidFhLSXdLeWVfY25yMWZzRVZsemdlY1U0Z0ZJMTBkenp3RE5oT05FR1hUMVFjdA?oc=5,-0.9987,negative,0.999,9,cybercrime,cybercrime,declining crime trend,0.4317,sentiment + crime_type + trend,news_media,2024
2024-10-02,Vague,Vague tip off helps crime branch nab Tamil Nadu murder case accused - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMitwFBVV95cUxQQXpjQkhuY3ZaS3I2djBqeG9QMWhRQ1N0ZlJpS2lxOUxHRDZHN2hmX21GRTMxMmtOYnN6X01CUFU0SldnWk51SFVVWlhpWlhpWWFTOFVJc2h2Z2xNdE5YUFoycmRKLXFvRkJsOGpna2cycXdmbDl5UnV6bUV5UFNwVjUyU2FHRVpuY3F0LVlSQ3JicFhkdWgzTFA4bkVaaUpfbkpLX2JkV25DdzJXY2RqY1pvdFFCNm_SAb4BQVVfeXFMTno4akN3UnRhVXVhS2JrbmZyZ3E3RWhHb3ZwRGtIOER2dkFYRVRSdFgwQVl0SkFDaVUtYk0teW5TOXd5ODlMMW9YUU1nRWp3SC1waXZWcmJwQnNZdGk5ODIxY2ZnX1U4Wm1SeVpqTHB5di1jbjdSTzViejRuM01jX25RZEtkWVEzeS0yaU9HenQwQ1E4c1lxczdhZEcwSmNLdUd1Y2pZVHJ0dU04akxtLTV2SkVSTUd4T2xOT3dmQQ?oc=5,-0.9928,negative,0.993,9,homicide or murder,homicide or murder,isolated incident,0.995,sentiment + crime_type + trend,news_media,2024
2024-06-28,Translating,Translating new criminal laws into Tamil under way as TN trains police and judiciary before July 1 implementation - Deccan Herald,Deccan Herald,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPaDlpSVhMMGoyMV80czZnWkdHRTl5b1I2WUJwUXhGbHNiSTVocFQ5SDBEdUVhM01BbERxY3MxMHNhU1NQMFNveFZrMFB5WXB0Q2JwUFVLdEFHLWxNaE8xbF9sSEItTjRBTDlhSWNEWEE1MGs5N1ZsLWNiZC1nMVZFMmRfLWRlR3M4U0hVMVc3V042NVc2VU8wS0RUODVoWGV1UFR5YklQaVkzM21pa1NISHJWT3pHZzlySENBQVctR1NNNThKUXNFb28zd3JIZWdhSkxxMkI4UERXWGhfVjZrWjhlemlpMkZoWXpR?oc=5,-0.9911,negative,0.991,8,other crime,other crime,rising crime trend,0.2645,sentiment + crime_type + trend,news_media,2024
2024-05-18,Notorious,"Notorious criminal from Tamil Nadu, wanted in 53 cases, escapes from Kerala’s Viyyur jail - The Hindu",The Hindu,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQZ3RTdHhfVmxXZWNKQTV6QVAtamJQRTlmejhHUnBPRkJ4M0dJRllkcVllSFE2SkVQd2E4bHVhTjhKSmZpU3d2WjhRbnhFNndVUWJNV2VENXFxZDcwRHItc0Q0alNsSzlOOS1TYkRtTnEzZm9oN2VXNzh0QlNBWVE5aE9NWkRVQllyeHA3Nlhwc1lkbUwzS2pSZGNNTUo4ZTZ0M1czMzYtQm0tZUw1ZU0tclV5bXN4cjRhcXVtSk1MeWMtMXhzdmxaLV9yZnRJdHRadkNMVkdkUFh4c3B3Ul9qUl9UZlNzSVkx0gHvAUFVX3lxTE15NlJmZlNCb3BoSlZTaTM3RDI5RmJFTHJFbkNsLXhybGl2aC1sNUJpWDNmd2k3M2hQX3pxTGJDTlhDUmFvLXFyTndMT1p2cUhnNHlncjRnRHhGcldWaWo0cTVEa2loM29GeVVhaV8wY2F4U2o0bV9nRkVDS25lNjJTUjJzVVJrOUowUk5GOFlaUm41LS03UEd2V3liOHA2Y0JtUWd3Wm9MRmxTR0pxR3ptQVp5VHBrVGY1WE11cTN5ZjlWZzJTSUc5SXYxRFlpOXpxVVZ2dGJ0VkRGOHFoMGdfVmlaT3MzZTNiQXBNaHBF?oc=5,-0.6158,negative,0.616,5,drug or narcotics,drug or narcotics,rising crime trend,0.3776,sentiment + crime_type + trend,news_media,2024
2024-12-07,Cyber,Cyber Crime Wing of Tamil Nadu police warns of new UPI scam - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQdlNuMGlUT1RfLW0zck5rTmUwZ2xWLW5rbW44dXpVV3dvM3J6SG1NZEQ5ckM3OXRmejlQeEROZnlZWkNXbWxselFmYzN4eUNnRWdUSndTYmlaUkVtWXIydHg0QngxV256T0pfOWFIMDhmRXFJYWRUMzRTa0p1N0RheTFTZ1lRYnJua2NteXlxZDd6TlhjQ0xTVlFZMkRhQjNlZEFWQ3NTcUxtXzZGUC1DQzN4RHhudFFDM2t1QTZBWGxPR0ViRG8tbdIBzwFBVV95cUxNZ3dEb3UxcmQxSUJlclZ4bUJ5cnRGTTNGTnlLckxkZVJWbmctYV8wU00xR3Z2ejItNXYtdkMweDBkVmtKNW1nLXNCRVRDVkZybWxkMTB3QU5XN0g1RmZWYlAxZnhwdmNoSHZRdmxSa3BXTkE5bkxUZE5mcEtiSFNaUE1BbVUwTC1kRzFoZEFUbkh4bVU5anZwajIxZTJHdEU0VUVyWXJZRHNnMmROZl9RTzFlZTF5dllsMXA0enJIZkNoNDdxYmprX1dqYkMwLTQ?oc=5,-0.9929,negative,0.993,9,cybercrime,cybercrime,declining crime trend,0.3135,sentiment + crime_type + trend,news_media,2024
2024-07-22,Hindu,T.N. BJP releases list of people allegedly with crime records and affiliated to DMK - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQYmZUVUZVYVU1OEFoSVRKZ1BseGw2V0VReUZtVXFiNVdLOTlWTmlMY0dnN1lHVlhydWk3NFNINWNkWC0tVURqOVdTeHpXN3J1ZWctTWxzX0s3RjAxTXZXaXROMk5iQnpTenNpMjlmWkNXTzRJYUR0WDZHcnF0RVFoZ0hIM1NmZVRyUjI2VHN6SkU5aEd3SllzV0JzV2hWdVpzTFFlVVA5QVVCdV81MEZ6ckR4Y2ctd0YzSEhkekdlQTZBbFRCQ1NEcVRMbE54dS1uNGZ4ZEFQaDZmQzl6VzZQZ25fd9IB6gFBVV95cUxNVmg1SDRXVzVPS25ETWZiNnR3YldLVjBsbnBqbW5RRnMybzI5UnZncEJ0MG1MZG5EbE90ZzJBMFF5NFhDemtwUzFyT0NWVjVGdkVBbFBJenpXczJKQnpUSDhFUFhDWVZmS0J0dHEtcVpFRUszT1VZaHJzMUhlbzZVbEZRdnc5Ul9PNUpGc2JVZUYxSDNRdkMxVDVzQXl5UENTUzJIYUliZTlCTXhkWlBqbGR1cG50MVlUTm9uaHVoVzd0QWFScXJkVVlBcFBLN3JrRzRmWEVZUWtidnBUT0NZaU9vVlhTVHBNcEE?oc=5,-0.983,negative,0.983,8,assault or violence,assault or violence,isolated incident,0.2843,sentiment + crime_type + trend,news_media,2024
2024-11-23,Cyber,T.N. Cyber Crime Wing cautions public against UPI scam - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMivwFBVV95cUxOOVBtMXBBOXc1SkliWU9JalgxcnE0eWFaRmVVa2lQUFVzS3dXaXdCY1BIVGIyS3lWeFV5YXBGRWhiTzNUd2c0N2R2X29ETVdJbGZ6cHFHdm13b2FaNU5DRG9EZGxxQ21UdkNVcUFhV3V4TGYtbDVJdGVTaXpGY1p2NXByR0RIYzhxS3Jib19WV09hZGwzRm91NEdFZnBpLUl2SW9KRGRSZjZIU2M5a19tc25jQkJkZ2t5RzNBYzNETdIBxgFBVV95cUxPRlRocGdRbFdTSk93ZWROZ0VZRWhNb3pQR195d1daSTB1MDhPT1E5M3VvLXg1a2lKZWpwa09SYVFINjAwdWFyVXdaYXBkWHFXVTF1bV90SVhsZGpZRHY2ODMyWkV4MnhDUDEtLXJ0M05YNEtqLXl4OVF5VlEzdDJRd1k2c1o5X1dWeGU5UHNIZThXelcxbk1JcEhzdk1wZnpJWmdvOTJWRzI3bU9JTGZHeF9RTGl5MGZfdzNDYVB4WXozMmV1Wnc?oc=5,-0.9468,negative,0.947,8,cybercrime,cybercrime,public safety concern,0.6087,sentiment + crime_type + trend,news_media,2024
2024-02-16,Total,"Total proceeds of crime in Senthilbalaji’s case is ₹67.75 crore, ED tells Madras High Court - The Hindu",The Hindu,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQdElSYy1SWUFnUTJJdUdLVDd5bTFKc0Q3c1AxR1BGNm5pSFJVc01PamNrcktoaUNtc1J2U0pVdEFWdFl2cmhvOVQ4Q01POUh4QmZ6emdSM2lwSG5IUGN4RGVtSDQ4SW1Nb0k4V3Rma1BiYmozQ2RlN3l5eGJucks0Q3ZReFZqc3phMUFxMy13V3d0Nk1pRnRFQnl4QnVIN3lwcjdoLTcxQThTZlUzZ2NfT2x0Wi1MYUdjYVRlNTlScWVnWHhodUU0VkVFNi1MZUZrSmFtcHVwT3o1dHRDTnZESlBPSHhMMlZ6Q0RmYUdB0gH0AUFVX3lxTE9PRXJzQi1hWml2ZHJsREtjek8zZlo1ZWNRNzR1X0FXRWNrZUYzSjBWSGtIYUJSR0NnUktwYnZySURid0QyZmYweHZqMFBEN3Y2NEdSNy1ESGN0dEQteGZTVTZVTmlORUpOZkVfNmFCZUZDZVpUOXdIQXoxeGN5VWFYSGQ4MUZKczVqYWd0RkY1RG5ZLUZZQUNneW1wTFRDbHlhMnAyQUk1ZC1lMXh4X0NXYkFyRzhHQXY1OHZoTHhsOFd2a0o4bXNzYlF3SjVQNnZKVlJHZXpQaWIxdlotdnFoTEVCd3ZuWUtyYkZtODZzSTlkOVA?oc=5,-0.9353,negative,0.935,8,assault or violence,assault or violence,rising crime trend,0.4217,sentiment + crime_type + trend,news_media,2024
2024-04-27,Cyber,T.N. Cyber Crime Police issue advisory on new scam involving AI voice cloning - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQWmNoejZTZm5ybHBFRnBPaGRVaEREVVBJQ0thYmREdXZtc3NMQk14SGk5dWYwTFRNY05fMEF2d25DQmg2M2hPajBSMnV0MVBHLVRraHRsN3pzc2pwcDJRa1VrMWtXOExzM0hXMXZVSUNjbExjeGktU3NYOGphMDNhQ3RBUWJLNDROZXlDT2wyOF9WeGlYZ3dJb013SWFtbGF2V2xzdk0tMmNLRU91b1JlVjhQVThLbEhxcEt6c2NqZURBcGkySUhNX1VHUjFQWVo1NDAtMVJiNkFZbjlDVnfSAeQBQVVfeXFMUGtPVzdvbXRXZW1fbElpNEgtWHZTWm1IMHhCLWswY3NfZm1jRlo5OGNtQ2ZOYkZLSHpmQllwNGlzMzI4UWFsOFFxTkI2THdfWjFkTUplUnRDclotblYweDRJSTVhOU1FLTJidFI0dW9DMjN5QmlKazZ0bUV0MXdsNDNCR05rbmxsNmhKb0drMW1TMXllWUZzaC1fb0FDRFFtdVZ4V1d6X01IN3EwdzRTaWVPX3F1SG5VZ1YyVk5qQlAxLTItSkhZb1Bib3JLRXcyX0JHX2tQamQ2RHozU2Q4eVlUU0xn?oc=5,-0.9771,negative,0.977,8,cybercrime,cybercrime,declining crime trend,0.2784,sentiment + crime_type + trend,news_media,2024
